iter	Passed	Remaining
194	1048	4326
195	1052	4316
196	1057	4309
197	1061	4299
198	1065	4288
199	1069	4279
200	1075	4274
201	1079	4266
202	1084	4256
203	1090	4253
204	1094	4245
205	1099	4236
206	1104	4231
207	1109	4225
208	1113	4215
209	1118	4207
210	1123	4200
211	1127	4192
212	1132	4184
213	1137	4178
214	1142	4170
215	1146	4161
216	1151	4153
217	1155	4146
218	1160	4138
219	1165	4131
220	1170	4125
221	1174	4117
222	1179	4110
223	1184	4104
224	1189	4097
225	1193	4088
226	1199	4082
227	1204	4078
228	1208	4069
229	1213	4064
230	1219	4058
231	1223	4049
232	1227	4042
233	1232	4035
234	1237	4029
235	1242	4021
236	1246	4013
237	1251	4007
238	1255	3998
239	1260	3992
240	1265	3984
241	1270	3978
242	1274	3970
243	1278	3962
244	1284	3957
245	1289	3951
246	1293	3944
247	1298	3937
248	1303	3932
249	1308	3924
250	1312	3916
251	1317	3910
252	1322	3903
253	1326	3895
254	1331	3889
255	1336	3884
256	1341	3876
257	1345	3869
258	1350	3863
259	1354	3855
260	1359	3848
261	1364	3842
262	1368	3835
263	1372	3827
264	1377	3819
265	1382	3815
266	1387	3807
267	1391	3801
268	1396	3795
269	1402	3791
270	1406	3784
271	1412	3779
272	1416	3772
273	1420	3764
274	1425	3757
275	1430	3751
276	1434	3744
277	1438	3736
278	1443	3729
279	1447	3723
280	1452	3716
281	1457	3710
282	1462	3704
283	1466	3696
284	1470	3689
285	1475	3683
286	1480	3676
287	1484	3669
288	1488	3662
289	1493	3656
290	1497	3649
291	1502	3641
292	1506	3635
293	1511	3628
294	1515	3622
295	1520	3616
296	1524	3609
297	1529	3603
298	1534	3597
299	1538	3590
300	1543	3584
301	1548	3577
302	1552	3571
303	1556	3564
304	1561	3558
305	1566	3551
306	1570	3544
307	1574	3538
308	1579	3532
309	1583	3525
310	1588	3518
311	1592	3512
312	1597	3506
313	1602	3500
314	1606	3493
315	1611	3488
316	1615	3481
317	1620	3474
318	1625	3469
319	1629	3463
320	1634	3457
321	1638	3450
322	1643	3445
323	1648	3438
324	1652	3431
325	1657	3425
326	1661	3419
327	1665	3412
328	1669	3405
329	1674	3400
330	1679	3393
331	1683	3387
332	1688	3381
333	1692	3375
334	1697	3369
335	1701	3363
336	1706	3357
337	1711	3352
338	1716	3346
339	1720	3340
340	1725	3334
341	1729	3327
342	1734	3322
343	1739	3317
344	1743	3310
345	1748	3305
346	1753	3299
347	1757	3293
348	1761	3286
349	1766	3280
350	1770	3274
351	1775	3268
352	1780	3262
353	1784	3256
354	1789	3251
355	1793	3245
356	1799	3240
357	1804	3235
358	1809	3231
359	1814	3225
360	1819	3220
361	1824	3214
362	1828	3209
363	1832	3202
364	1838	3197
365	1843	3193
366	1848	3187
367	1853	3183
368	1858	3177
369	1862	3171
370	1867	3165
371	1871	3160
372	1876	3154
373	1881	3148
374	1886	3143
375	1891	3138
376	1895	3132
377	1900	3127
378	1906	3123
379	1910	3117
380	1915	3111
381	1920	3107
382	1925	3101
383	1929	3095
384	1934	3090
385	1939	3084
386	1943	3078
387	1949	3074
388	1954	3069
389	1959	3064
390	1965	3060
391	1970	3056
392	1975	3051
393	1981	3047
394	1986	3042
395	1990	3035
396	1994	3030
397	1999	3025
398	2004	3018
399	2008	3012
400	2013	3008
401	2018	3002
402	2023	2996
403	2027	2991
404	2032	2985
405	2036	2979
406	2041	2974
407	2045	2967
408	2050	2962
409	2054	2956
410	2059	2951
411	2064	2945
412	2068	2939
413	2072	2934
414	2077	2928
415	2081	2922
416	2086	2916
417	2090	2911
418	2095	2905
419	2099	2899
420	2104	2893
421	2108	2887
422	2113	2882
423	2117	2876
424	2121	2870
425	2126	2864
426	2131	2859
427	2136	2855
428	2140	2849
429	2145	2844
430	2150	2838
431	2154	2832
432	2158	2826
433	2163	2820
434	2167	2815
435	2172	2809
436	2176	2804
437	2181	2798
438	2185	2793
439	2189	2787
440	2194	2781
441	2199	2776
442	2203	2770
443	2207	2764
444	2212	2759
445	2216	2753
446	2221	2747
447	2226	2743
448	2231	2738
449	2235	2732
450	2240	2726
451	2244	2721
452	2249	2716
453	2253	2710
454	2258	2705
455	2262	2699
456	2267	2693
457	2271	2688
458	2276	2683
459	2280	2677
460	2285	2671
461	2289	2666
462	2294	2660
463	2298	2654
464	2303	2649
465	2307	2644
466	2311	2638
467	2316	2632
468	2320	2627
469	2325	2622
470	2330	2617
471	2334	2611
472	2339	2606
473	2343	2600
474	2348	2595
475	2352	2589
476	2357	2584
477	2361	2578
478	2366	2574
479	2370	2568
480	2375	2563
481	2380	2558
482	2385	2552
483	2389	2547
484	2394	2542
485	2398	2536
486	2402	2531
487	2407	2526
488	2412	2520
489	2416	2515
490	2421	2509
491	2425	2504
492	2429	2498
493	2434	2493
494	2439	2489
495	2444	2483
496	2448	2478
497	2453	2472
498	2457	2467
499	2461	2461
500	2465	2456
501	2470	2451
502	2474	2445
503	2479	2439
504	2483	2434
505	2488	2429
506	2492	2424
507	2496	2418
508	2501	2413
509	2506	2408
510	2510	2402
511	2514	2396
512	2519	2392
513	2524	2386
514	2528	2381
515	2533	2375
516	2538	2371
517	2542	2365
518	2546	2360
519	2551	2355
520	2556	2349
521	2560	2344
522	2564	2339
523	2569	2334
524	2573	2328
525	2578	2323
526	2582	2318
527	2587	2312
528	2591	2307
529	2597	2303
530	2602	2298
531	2606	2292
532	2611	2288
533	2616	2283
534	2620	2277
535	2624	2272
536	2628	2266
537	2633	2261
538	2637	2256
539	2642	2250
540	2646	2245
541	2651	2240
542	2656	2235
543	2660	2230
544	2665	2225
545	2669	2220
546	2674	2214
547	2678	2209
548	2683	2204
549	2687	2199
550	2692	2193
551	2696	2188
552	2700	2183
553	2705	2178
554	2709	2172
555	2714	2167
556	2719	2162
557	2723	2157
558	2728	2152
559	2732	2147
560	2737	2142
561	2741	2136
562	2746	2131
563	2751	2126
564	2755	2121
565	2759	2116
566	2764	2111
567	2768	2105
568	2773	2100
569	2777	2095
570	2782	2090
571	2786	2085
572	2791	2079
573	2796	2075
574	2800	2069
575	2804	2064
576	2809	2059
577	2813	2054
578	2818	2049
579	2822	2043
580	2827	2038
581	2831	2033
582	2835	2028
583	2840	2023
584	2844	2018
585	2849	2013
586	2853	2007
587	2858	2002
588	2862	1997
589	2867	1992
590	2871	1987
591	2876	1982
592	2880	1977
593	2884	1971
594	2889	1966
595	2894	1961
596	2898	1956
597	2903	1951
598	2907	1946
599	2911	1941
600	2916	1936
601	2920	1930
602	2924	1925
603	2929	1920
604	2933	1915
605	2937	1910
606	2942	1905
607	2947	1900
608	2951	1894
609	2955	1889
610	2961	1885
611	2965	1880
612	2969	1874
613	2974	1870
614	2978	1864
615	2983	1859
616	2987	1854
617	2992	1849
618	2996	1844
619	3000	1839
620	3005	1834
621	3010	1829
622	3014	1824
623	3019	1819
624	3023	1814
625	3028	1809
626	3032	1803
627	3036	1798
628	3041	1793
629	3045	1788
630	3049	1783
631	3054	1778
632	3059	1773
633	3063	1768
634	3068	1763
635	3073	1759
636	3077	1754
637	3082	1749
638	3087	1743
639	3091	1739
640	3096	1733
641	3100	1729
642	3105	1724
643	3109	1719
644	3114	1714
645	3118	1708
646	3123	1703
647	3127	1698
648	3131	1693
649	3136	1688
650	3140	1683
651	3145	1678
652	3149	1673
653	3154	1668
654	3159	1663
655	3163	1658
656	3167	1653
657	3172	1649
658	3177	1644
659	3181	1638
660	3186	1634
661	3190	1629
662	3195	1624
663	3199	1618
664	3203	1613
665	3208	1608
666	3212	1603
667	3217	1599
668	3221	1594
669	3225	1588
670	3230	1583
671	3234	1578
672	3239	1574
673	3243	1568
674	3247	1563
675	3252	1559
676	3257	1554
677	3261	1548
678	3266	1544
679	3271	1539
680	3275	1534
681	3279	1529
682	3284	1524
683	3289	1519
684	3293	1514
685	3298	1509
686	3302	1504
687	3306	1499
688	3310	1494
689	3315	1489
690	3320	1484
691	3324	1479
692	3329	1474
693	3334	1470
694	3338	1465
695	3342	1459
696	3347	1455
697	3351	1450
698	3356	1445
699	3361	1440
700	3366	1435
701	3371	1431
702	3375	1426
703	3380	1421
704	3384	1416
705	3388	1411
706	3393	1406
707	3398	1401
708	3403	1396
709	3407	1391
710	3412	1386
711	3416	1381
712	3421	1377
713	3426	1372
714	3430	1367
715	3434	1362
716	3439	1357
717	3443	1352
718	3447	1347
719	3452	1342
720	3456	1337
721	3461	1332
722	3466	1327
723	3470	1322
724	3474	1317
725	3479	1313
726	3484	1308
727	3488	1303
728	3492	1298
729	3497	1293
730	3501	1288
731	3506	1283
732	3510	1278
733	3515	1273
734	3519	1268
735	3523	1263
736	3529	1259
737	3533	1254
738	3537	1249
739	3542	1244
740	3547	1239
741	3551	1234
742	3555	1229
743	3560	1225
744	3564	1220
745	3569	1215
746	3573	1210
747	3578	1205
748	3583	1200
749	3587	1195
750	3593	1191
751	3597	1186
752	3601	1181
753	3606	1176
754	3611	1171
755	3615	1166
756	3620	1162
757	3624	1157
758	3629	1152
759	3633	1147
760	3638	1142
761	3643	1137
762	3647	1133
763	3652	1128
764	3656	1123
765	3661	1118
766	3665	1113
767	3670	1108
768	3674	1103
769	3679	1099
770	3683	1094
771	3687	1089
772	3692	1084
773	3697	1079
774	3701	1074
775	3706	1069
776	3711	1065
777	3715	1060
778	3719	1055
779	3724	1050
780	3728	1045
781	3733	1040
782	3737	1035
783	3742	1031
784	3746	1026
785	3750	1021
786	3755	1016
787	3759	1011
788	3764	1006
789	3768	1001
790	3773	997
791	3778	992
792	3782	987
793	3787	982
794	3793	978
795	3798	973
796	3804	968
797	3809	964
798	3814	959
799	3822	955
800	3827	950
801	3832	946
802	3838	941
803	3844	937
804	3849	932
805	3855	927
806	3860	923
807	3865	918
808	3871	914
809	3876	909
810	3882	904
811	3888	900
812	3895	895
813	3902	891
814	3909	887
815	3915	882
816	3922	878
817	3927	873
818	3933	869
819	3938	864
820	3944	860
821	3950	855
822	3956	850
823	3962	846
824	3968	841
825	3978	837
826	3986	834
827	3993	829
828	3997	824
829	4002	819
830	4007	814
831	4011	809
832	4016	805
833	4020	800
834	4025	795
835	4029	790
836	4034	785
837	4038	780
838	4043	775
839	4047	771
840	4052	766
841	4056	761
842	4061	756
843	4065	751
844	4070	746
845	4074	741
846	4079	736
847	4083	732
848	4088	727
849	4092	722
850	4097	717
851	4102	712
852	4106	707
853	4111	702
854	4116	698
855	4120	693
856	4125	688
857	4130	683
858	4134	678
859	4138	673
860	4143	668
861	4148	664
862	4152	659
863	4157	654
864	4162	649
865	4166	644
866	4171	639
867	4176	635
868	4181	630
869	4185	625
870	4190	620
871	4194	615
872	4199	610
873	4204	606
874	4208	601
875	4213	596
876	4217	591
877	4222	586
878	4227	581
879	4231	577
880	4236	572
881	4240	567
882	4245	562
883	4249	557
884	4254	552
885	4259	548
886	4263	543
887	4268	538
888	4272	533
889	4277	528
890	4281	523
891	4285	518
892	4290	514
893	4295	509
894	4299	504
895	4303	499
896	4309	494
897	4314	490
898	4318	485
899	4323	480
900	4327	475
901	4332	470
902	4336	465
903	4341	461
904	4346	456
905	4350	451
906	4355	446
907	4359	441
908	4364	436
909	4368	432
910	4373	427
911	4377	422
912	4382	417
913	4387	412
914	4391	407
915	4396	403
916	4401	398
917	4405	393
918	4410	388
919	4415	383
920	4419	379
921	4424	374
922	4428	369
923	4433	364
924	4438	359
925	4442	355
926	4447	350
927	4451	345
928	4456	340
929	4460	335
930	4464	330
931	4469	326
932	4473	321
933	4478	316
934	4482	311
935	4487	306
936	4492	302
937	4496	297
938	4500	292
939	4505	287
940	4510	282
941	4514	277
942	4519	273
943	4524	268
944	4528	263
945	4532	258
946	4538	253
947	4542	249
948	4546	244
949	4551	239
950	4556	234
951	4560	229
952	4564	225
953	4570	220
954	4574	215
955	4579	210
956	4583	205
957	4588	201
958	4592	196
959	4596	191
960	4601	186
961	4605	181
962	4610	177
963	4614	172
964	4619	167
965	4623	162
966	4628	157
967	4633	153
968	4637	148
969	4641	143
970	4646	138
971	4650	133
972	4655	129
973	4659	124
974	4664	119
975	4668	114
976	4672	110
977	4677	105
978	4682	100
979	4686	95
980	4691	90
981	4695	86
982	4699	81
983	4704	76
984	4709	71
985	4713	66
986	4718	62
987	4722	57
988	4726	52
989	4731	47
990	4736	43
991	4740	38
992	4745	33
993	4749	28
994	4754	23
995	4758	19
996	4763	14
997	4768	9
998	4772	4
999	4777	0
